timestamp_ns,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
1778454737379354084,-0.43763893153647604,-1.1278422926514462,0.0,1.2749212672458753e-23,-3.8449225644408325e-18,6.168146622707606e-13
1778454737389279234,-0.43763893153647604,-1.1278422926514462,0.0,6.110295237268329e-20,-3.881514577949675e-18,-6.370812411397545e-07
1778454737409317773,-0.43763893153647604,-1.1278422926514462,0.0,6.153563984634383e-20,-3.834141530258588e-18,3.097715169046068e-07
1778454737429321516,-0.43763893153647604,-1.1278422926514462,0.0,5.790209742537881e-20,-3.7856712943140006e-18,2.4446611725188564e-07
1778454737449260111,-0.43763893153647604,-1.1278422926514462,0.0,5.218355418764356e-20,-3.734015309978401e-18,2.46404186409301e-07
1778454737469296243,-0.43763893153647604,-1.1278422926514462,0.0,5.855200834546801e-20,-3.6893295706387604e-18,7.019964390878531e-07
1778454737489284356,-0.43763893153647604,-1.1278422926514462,0.0,6.20765677658792e-20,-3.6436318869788945e-18,1.0252494065595924e-07
1778454737509302580,-0.43763893153647604,-1.1278422926514462,0.0,8.07216702605592e-20,-3.608360761663793e-18,-5.1476247805595903e-08
1778454737529272657,-0.43763893153647604,-1.1278422926514462,0.0,8.00939034522999e-20,-3.562632830528301e-18,1.5604829169110705e-06
1778454737549380844,-0.43763893153647604,-1.1278422926514462,0.0,8.590491894117812e-20,-3.5197673658412454e-18,-4.635567994234309e-07
1778454737569292365,-0.43763893153647604,-1.1278422926514462,0.0,1.0760308941916354e-19,-3.488199082092724e-18,-3.29710509499473e-07
1778454737589289589,-0.43763893153647604,-1.1278422926514462,0.0,1.0597512467456918e-19,-3.4446408087638546e-18,-8.445536260955655e-07
1778454737609272425,-0.43763893153647604,-1.1278422926514462,0.0,1.27796130063178e-19,-3.4130613285975623e-18,-5.277270720346845e-07
1778454737629299538,-0.43763893153647604,-1.1278422926514462,0.0,1.2254662583421678e-19,-3.3669259928078236e-18,-1.491441826172483e-06
1778454737649266837,-0.43763893153647604,-1.1278422926514462,0.0,1.3039367970027117e-19,-3.328550825527109e-18,8.980066813946843e-07
1778454737669292339,-0.43763893153647604,-1.1278422926514462,0.0,1.3640825003870652e-19,-3.2903937253605157e-18,1.3707916449839108e-06
1778454737689302526,-0.43763893153647604,-1.1278422926514462,0.0,1.4334771506482301e-19,-3.2526235841308107e-18,4.179614127378338e-07
1778454737709273844,-0.43763893153647604,-1.1278422926514462,0.0,1.5619108760681123e-19,-3.219729933736327e-18,1.3296449763553893e-07
1778454737729254457,-0.43763893153647604,-1.1278422926514462,0.0,1.7827297311404018e-19,-3.1937758784501393e-18,1.4820315892944872e-06
1778454737749238274,-0.43763893153647604,-1.1278422926514462,0.0,1.7613533574639586e-19,-3.152533765355928e-18,1.1034503938375903e-06
1778454737769282239,-0.43763893153647604,-1.1278422926514462,0.0,1.6873385295660627e-19,-3.109825561695445e-18,1.3473572552573016e-06
1778454737789253593,-0.43763893153647604,-1.1278422926514462,0.0,1.696605963346588e-19,-3.070563757568773e-18,-3.566567053065617e-08
1778454737809189170,-0.43763893153647604,-1.1278422926514462,0.0,9.718553763553372e-24,-2.9308648332645573e-18,-8.73766513959247e-14
1778454737819202356,-0.43763893153647604,-1.1278422926514462,0.0,1.6954484482073193e-19,-3.0324095441016866e-18,-2.6966370594983086e-06
1778454737829328172,-0.43763893153647604,-1.1278422926514462,0.0,9.593808916783811e-24,-2.893713069973346e-18,-6.602182796082797e-12
1778454737839208858,-0.43763893153647604,-1.1278422926514462,0.0,1.7181031156143636e-19,-2.9966147699299834e-18,1.5235202666714281e-06
1778454737849224211,-0.43763893153647604,-1.1278422926514462,0.0,9.470640370488393e-24,-2.8568156456537582e-18,3.729307099286841e-12
1778454737859219527,-0.43763893153647604,-1.1278422926514462,0.0,1.882783192345268e-19,-2.9695809812229438e-18,-5.345811926000325e-06
1778454737879312437,-0.43763893153647604,-1.1278422926514462,0.0,1.974409479087862e-19,-2.9379688373991634e-18,1.8627264055353493e-07
1778454737899288939,-0.43763893153647604,-1.1278422926514462,0.0,1.9129862592258606e-19,-2.898764823713265e-18,1.198648927021685e-06
1778454737919272126,-0.43763893153647604,-1.1278422926514462,0.0,2.333579580284309e-19,-2.888066690829614e-18,3.1536435224617366e-06
1778454737939289517,-0.43763893153647604,-1.1278422926514462,0.0,2.36111676555465e-19,-2.8543828803456143e-18,5.172728659796111e-07
1778454737959270186,-0.43763893153647604,-1.1278422926514462,0.0,2.3588595681690055e-19,-2.81966769586539e-18,-1.995581499852538e-07
1778454737979234577,-0.43763893153647604,-1.1278422926514462,0.0,2.375823709460661e-19,-2.7856017173762285e-18,4.960123856972259e-06
1778454737999265691,-0.43763893153647604,-1.1278422926514462,0.0,2.469193047482844e-19,-2.756980189900979e-18,4.06918489584681e-07
1778454738019257471,-0.43763893153647604,-1.1278422926514462,0.0,2.397447716609506e-19,-2.720209305124053e-18,-4.335438473799914e-06
1778454738039284103,-0.43763893153647604,-1.1278422926514462,0.0,2.610444618612721e-19,-2.6991231331235893e-18,-7.378598728488514e-07
1778454738059262179,-0.43763893153647604,-1.1278422926514462,0.0,2.7201794282450545e-19,-2.6734221909367513e-18,1.8882273357363515e-06
1778454738079232700,-0.43763893153647604,-1.1278422926514462,0.0,2.834700688452513e-19,-2.6479391050944497e-18,1.1635827818013914e-07
1778454738099283628,-0.43763893153647604,-1.1278422926514462,0.0,2.816674857154676e-19,-2.6149062937082235e-18,3.706124546598212e-06
1778454738119250056,-0.43763893153647604,-1.1278422926514462,0.0,2.812000371760035e-19,-2.5829784166381655e-18,1.646662207834174e-06
1778454738139259447,-0.43763893153647604,-1.1278422926514462,0.0,2.8452701805766266e-19,-2.554275257488947e-18,-1.6406947587241662e-06
1778454738159236894,-0.43763893153647604,-1.1278422926514462,0.0,2.803296759316463e-19,-2.521020951621445e-18,5.397175519845056e-06
1778454738179252526,-0.43763893153647604,-1.1278422926514462,0.0,2.7597628836539526e-19,-2.4880751835297e-18,2.2644736660831304e-06
1778454738199281750,-0.43763893153647604,-1.1278422926514462,0.0,2.7380449218307994e-19,-2.45740018143679e-18,-3.991524049172443e-06
1778454738219273715,-0.43763893153647604,-1.1278422926514462,0.0,2.733693460066522e-19,-2.4278884124059284e-18,5.27293456092123e-06
1778454738239259699,-0.43763893153647604,-1.1278422926514462,0.0,2.8177758436369964e-19,-2.4038346536031705e-18,3.023497064838748e-06
1778454738259249812,-0.43763893153647604,-1.1278422926514462,0.0,7.313853835914162e-24,-2.205947309698796e-18,7.406233724737674e-12
1778454738269203277,-0.43763893153647604,-1.1278422926514462,0.0,2.930088495531711e-19,-2.3814361838446923e-18,2.5309397023638803e-06
1778454738279274741,-0.43763893153647604,-1.1278422926514462,0.0,7.220003410702244e-24,-2.177383140771615e-18,6.2015096401844415e-12
1778454738289275668,-0.43763893153647604,-1.1278422926514462,0.0,2.9329344163024713e-19,-2.3530419526469918e-18,6.541403799120449e-06
1778454738299214650,-0.43763893153647604,-1.1278422926514462,0.0,7.12729336866974e-24,-2.1497353461948628e-18,1.6017261927125177e-11
